"year","value","variable"
1900,13.8882043647522,"Temperature (°C)"
1901,13.8329552701838,"Temperature (°C)"
1902,13.2159065902168,"Temperature (°C)"
1903,13.3749945308181,"Temperature (°C)"
1904,14.0854645879508,"Temperature (°C)"
1905,13.8829816413277,"Temperature (°C)"
1906,13.8299056817261,"Temperature (°C)"
1907,13.3466557528249,"Temperature (°C)"
1908,13.3497691627099,"Temperature (°C)"
1909,13.1530401822458,"Temperature (°C)"
1910,14.1320788485299,"Temperature (°C)"
1911,12.8727218257371,"Temperature (°C)"
1912,12.9240977439232,"Temperature (°C)"
1913,13.2088199322555,"Temperature (°C)"
1914,13.9377521149572,"Temperature (°C)"
1915,13.4825686191374,"Temperature (°C)"
1916,12.8864559257295,"Temperature (°C)"
1917,13.5678940492073,"Temperature (°C)"
1918,13.6268247818041,"Temperature (°C)"
1919,13.2912464343689,"Temperature (°C)"
1920,13.1639348325759,"Temperature (°C)"
1921,13.8440344167876,"Temperature (°C)"
1922,13.1214187797342,"Temperature (°C)"
1923,13.3597515260288,"Temperature (°C)"
1924,13.7337960250305,"Temperature (°C)"
1925,13.7625557099597,"Temperature (°C)"
1926,14.7498806607507,"Temperature (°C)"
1927,13.6017658269404,"Temperature (°C)"
1928,14.0672472164577,"Temperature (°C)"
1929,13.9005461580768,"Temperature (°C)"
1930,13.6811192070081,"Temperature (°C)"
1931,14.4148946033934,"Temperature (°C)"
1932,13.6369565503278,"Temperature (°C)"
1933,13.632082936248,"Temperature (°C)"
1934,15.271018320077,"Temperature (°C)"
1935,13.6197852439113,"Temperature (°C)"
1936,14.6145169884848,"Temperature (°C)"
1937,13.7738867593256,"Temperature (°C)"
1938,13.8566785864087,"Temperature (°C)"
1939,14.4768339949202,"Temperature (°C)"
1940,14.7453058428324,"Temperature (°C)"
1941,13.7357033502148,"Temperature (°C)"
1942,13.7908372242385,"Temperature (°C)"
1943,14.2849975630422,"Temperature (°C)"
1944,13.3666763971624,"Temperature (°C)"
1945,13.8005432747031,"Temperature (°C)"
1946,13.5771637326827,"Temperature (°C)"
1947,14.0282443032721,"Temperature (°C)"
1948,12.9637898998914,"Temperature (°C)"
1949,13.3339983550942,"Temperature (°C)"
1950,14.3988181646626,"Temperature (°C)"
1951,13.8728221302428,"Temperature (°C)"
1952,13.6221166309726,"Temperature (°C)"
1953,13.8344102575555,"Temperature (°C)"
1954,14.0992965289883,"Temperature (°C)"
1955,13.292872631048,"Temperature (°C)"
1956,13.771296296543,"Temperature (°C)"
1957,13.7647411292486,"Temperature (°C)"
1958,14.7650411178512,"Temperature (°C)"
1959,14.8023643039254,"Temperature (°C)"
1960,14.2647683059636,"Temperature (°C)"
1961,14.1534786159755,"Temperature (°C)"
1962,13.906776700436,"Temperature (°C)"
1963,13.7247974984434,"Temperature (°C)"
1964,13.4101490814832,"Temperature (°C)"
1965,13.4638314389254,"Temperature (°C)"
1966,14.2191289030107,"Temperature (°C)"
1967,13.9632509147244,"Temperature (°C)"
1968,13.9907634716848,"Temperature (°C)"
1969,13.9264130136241,"Temperature (°C)"
1970,14.0777934615221,"Temperature (°C)"
1971,13.171446116653,"Temperature (°C)"
1972,13.761444505796,"Temperature (°C)"
1973,13.7548379902336,"Temperature (°C)"
1974,14.0079245852173,"Temperature (°C)"
1975,13.2676442989483,"Temperature (°C)"
1976,13.9673267252469,"Temperature (°C)"
1977,14.2191652106904,"Temperature (°C)"
1978,13.9815112965453,"Temperature (°C)"
1979,14.0348436953393,"Temperature (°C)"
1980,14.2619147432777,"Temperature (°C)"
1981,14.915719061235,"Temperature (°C)"
1982,13.1956922294628,"Temperature (°C)"
1983,13.7625865912339,"Temperature (°C)"
1984,14.1656174251865,"Temperature (°C)"
1985,13.7248721029118,"Temperature (°C)"
1986,14.5700454245275,"Temperature (°C)"
1987,14.2238561624252,"Temperature (°C)"
1988,14.5559945940888,"Temperature (°C)"
1989,14.1942508476379,"Temperature (°C)"
1990,14.0860959076997,"Temperature (°C)"
1991,14.1785502045351,"Temperature (°C)"
1992,14.8524536806326,"Temperature (°C)"
1993,13.9298971019567,"Temperature (°C)"
1994,14.1624810876771,"Temperature (°C)"
1995,14.6849750785065,"Temperature (°C)"
1996,15.0144781124123,"Temperature (°C)"
1997,14.7450712686823,"Temperature (°C)"
1998,13.4144212205611,"Temperature (°C)"
1999,14.1431648256121,"Temperature (°C)"
2000,14.5562617017912,"Temperature (°C)"
2001,14.7352253434825,"Temperature (°C)"
2002,14.591921448975,"Temperature (°C)"
2003,14.907731148299,"Temperature (°C)"
2004,14.6273680950772,"Temperature (°C)"
2005,14.491603638597,"Temperature (°C)"
2006,14.5049869272981,"Temperature (°C)"
2007,14.6294595983752,"Temperature (°C)"
2008,14.6117201816486,"Temperature (°C)"
2009,14.5657746520593,"Temperature (°C)"
2010,13.9398336019924,"Temperature (°C)"
2011,13.784543358526,"Temperature (°C)"
2012,14.9206730326631,"Temperature (°C)"
2013,14.7803813016334,"Temperature (°C)"
2014,15.9834995512913,"Temperature (°C)"
2015,15.6510291647498,"Temperature (°C)"
2016,15.290822214841,"Temperature (°C)"
2017,15.3810328815367,"Temperature (°C)"
2018,15.2825685797757,"Temperature (°C)"
2019,14.3547392567838,"Temperature (°C)"
2020,15.498449608943,"Temperature (°C)"
2021,15.3470224942987,"Temperature (°C)"
2022,15.188784764079,"Temperature (°C)"
2023,14.1488948544634,"Temperature (°C)"
2024,16.5422158662593,"Temperature (°C)"
1900,44.8908356794402,"Precipitation (mm)"
1901,50.9056794610782,"Precipitation (mm)"
1902,57.3958703564039,"Precipitation (mm)"
1903,48.015483662226,"Precipitation (mm)"
1904,67.7171024275285,"Precipitation (mm)"
1905,45.6948269516967,"Precipitation (mm)"
1906,73.2560332250353,"Precipitation (mm)"
1907,64.3233111671254,"Precipitation (mm)"
1908,37.5813364562669,"Precipitation (mm)"
1909,78.4976473504824,"Precipitation (mm)"
1910,34.0234266710215,"Precipitation (mm)"
1911,54.0215777644531,"Precipitation (mm)"
1912,44.3891182656051,"Precipitation (mm)"
1913,47.6460857594651,"Precipitation (mm)"
1914,56.8858179468323,"Precipitation (mm)"
1915,59.6049900326543,"Precipitation (mm)"
1916,59.2384619437352,"Precipitation (mm)"
1917,33.4032744037524,"Precipitation (mm)"
1918,46.1034472218239,"Precipitation (mm)"
1919,43.8309626538094,"Precipitation (mm)"
1920,52.0038081307385,"Precipitation (mm)"
1921,50.3148465329037,"Precipitation (mm)"
1922,52.9986927333018,"Precipitation (mm)"
